2019-02-19 12:58:01.408 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppProductRequest$Delete
2019-02-19 12:58:01.410 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelRequest$QueryList0$Param
2019-02-19 12:58:01.410 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DdUserRequest$Get
2019-02-19 12:58:01.411 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DongRequest$GetSummary$Param
2019-02-19 12:58:01.412 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelMessageRequest$Delete
2019-02-19 12:58:01.413 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.FeedBackRequest$Get$Param
2019-02-19 12:58:01.413 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DdUserRequest$QueryList$Param
2019-02-19 12:58:01.414 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.OcrValidResponse
2019-02-19 12:58:01.414 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DdUserResponse
2019-02-19 12:58:01.415 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.FeedBackRequest$Delete$Param
2019-02-19 12:58:01.416 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishRequest$Create$Param
2019-02-19 12:58:01.416 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelRequest$QueryList1
2019-02-19 12:58:01.416 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DdUserRequest$Update
2019-02-19 12:58:01.416 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppManageResponse
2019-02-19 12:58:01.416 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.WorkflowItemResponse
2019-02-19 12:58:01.416 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelMessageListResponse
2019-02-19 12:58:01.417 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelMessageRequest$Alarm$Param
2019-02-19 12:58:01.417 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppManageRequest$Option
2019-02-19 12:58:01.418 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppVersionRequest$Update$Param
2019-02-19 12:58:01.418 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.FeedBackRequest$Create$Param
2019-02-19 12:58:01.419 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.FeedBackRequest$QueryList$Param
2019-02-19 12:58:01.419 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishRequest$Delete$Param
2019-02-19 12:58:01.420 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DdUserRequest$Update$Param
2019-02-19 12:58:01.421 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppProductRequest$Update
